j1_angle,j2_angle,j3_angle,motor_temperature,torque_nm,current_amp,status,created_at
56.94,24.31,29.92,37.43,20.17,4.03,OPERATIONAL,2026-05-23T16:01:58.928352
57.81,22.78,30.0,37.57,19.42,3.73,OPERATIONAL,2026-05-23T16:02:00.928352
58.54,21.21,29.96,37.67,18.89,3.62,OPERATIONAL,2026-05-23T16:02:02.928352
5.913,1.961,2.982,43.98,39.67,8.9,FAILURE,2026-05-23T16:02:04.928352
59.56,17.97,29.57,37.75,17.05,3.2,OPERATIONAL,2026-05-23T16:02:06.928352
59.85,16.31,29.22,37.81,15.54,3.05,OPERATIONAL,2026-05-23T16:02:08.928352
59.99,14.62,28.75,84.81,11.6,2.25,WARNING,2026-05-23T16:02:10.928352
59.97,12.9,28.19,37.87,15.32,3.06,OPERATIONAL,2026-05-23T16:02:12.928352
59.81,11.17,27.52,37.95,14.64,2.94,OPERATIONAL,2026-05-23T16:02:14.928352
59.5,9.42,26.76,38.08,12.63,2.42,OPERATIONAL,2026-05-23T16:02:16.928352
59.04,7.65,25.9,38.14,13.28,2.68,OPERATIONAL,2026-05-23T16:02:18.928352
58.43,5.87,24.94,38.29,12.04,2.39,OPERATIONAL,2026-05-23T16:02:20.928352
57.68,4.08,23.9,38.42,12.24,2.53,OPERATIONAL,2026-05-23T16:02:22.928352
56.78,2.28,22.77,38.47,10.5,2.14,OPERATIONAL,2026-05-23T16:02:24.928352
55.74,0.49,21.55,38.6,8.94,1.82,OPERATIONAL,2026-05-23T16:02:26.928352
54.56,-1.31,20.26,38.67,10.27,2.14,OPERATIONAL,2026-05-23T16:02:28.928352
53.24,-3.11,18.9,38.81,9.05,1.92,OPERATIONAL,2026-05-23T16:02:30.928352
51.79,-4.9,17.47,38.86,6.57,1.54,OPERATIONAL,2026-05-23T16:02:32.928352
50.21,-6.69,15.98,38.93,8.53,1.79,OPERATIONAL,2026-05-23T16:02:34.928352
48.51,-8.46,14.42,39.05,7.0,1.49,OPERATIONAL,2026-05-23T16:02:36.928352
46.68,-10.22,12.82,39.16,8.06,1.76,OPERATIONAL,2026-05-23T16:02:38.928352
44.74,-11.97,11.17,39.26,6.45,1.28,OPERATIONAL,2026-05-23T16:02:40.928352
42.69,-13.69,9.48,39.33,7.94,1.74,OPERATIONAL,2026-05-23T16:02:42.928352
40.53,-15.4,7.76,39.33,9.1,12.27,FAILURE,2026-05-23T16:02:44.928352
38.27,-17.08,6.01,39.47,5.7,1.18,OPERATIONAL,2026-05-23T16:02:46.928352
35.91,-18.73,4.23,39.55,7.94,1.76,OPERATIONAL,2026-05-23T16:02:48.928352
33.46,-20.35,2.45,39.66,8.54,1.86,OPERATIONAL,2026-05-23T16:02:50.928352
30.93,-21.94,0.65,39.66,9.82,12.57,FAILURE,2026-05-23T16:02:52.928352
28.32,-23.49,-1.15,39.81,8.52,1.69,OPERATIONAL,2026-05-23T16:02:54.928352
25.64,-25.01,-2.95,39.86,10.15,1.99,OPERATIONAL,2026-05-23T16:02:56.928352
22.9,-26.48,-4.73,39.96,10.63,2.06,OPERATIONAL,2026-05-23T16:02:58.928352
20.1,-27.92,-6.5,40.01,10.18,1.94,OPERATIONAL,2026-05-23T16:03:00.928352
17.25,-29.31,-8.24,40.08,9.49,2.07,OPERATIONAL,2026-05-23T16:03:02.928352
14.35,-30.65,-9.96,40.21,10.56,2.15,OPERATIONAL,2026-05-23T16:03:04.928352
11.43,-31.94,-11.64,40.29,12.03,2.53,OPERATIONAL,2026-05-23T16:03:06.928352
8.47,-33.18,-13.28,40.36,13.85,2.76,OPERATIONAL,2026-05-23T16:03:08.928352
5.49,-34.37,-14.86,40.45,13.25,2.71,OPERATIONAL,2026-05-23T16:03:10.928352
2.49,-35.51,-16.4,40.58,14.12,2.83,OPERATIONAL,2026-05-23T16:03:12.928352
-0.5,-36.58,-17.88,40.69,15.26,3.1,OPERATIONAL,2026-05-23T16:03:14.928352
-3.5,-37.6,-19.29,40.76,14.94,2.95,OPERATIONAL,2026-05-23T16:03:16.928352
-6.49,-38.56,-20.63,40.82,17.66,3.57,OPERATIONAL,2026-05-23T16:03:18.928352
-9.46,-39.46,-21.9,40.92,18.63,3.65,OPERATIONAL,2026-05-23T16:03:20.928352
-12.41,-40.29,-23.09,41.01,16.84,3.21,OPERATIONAL,2026-05-23T16:03:22.928352
-15.33,-41.06,-24.2,41.12,18.69,3.63,OPERATIONAL,2026-05-23T16:03:24.928352
-18.21,-41.76,-25.22,41.21,19.98,3.93,OPERATIONAL,2026-05-23T16:03:26.928352
-21.05,-42.4,-26.15,41.29,20.28,3.86,OPERATIONAL,2026-05-23T16:03:28.928352
-23.83,-42.97,-26.98,81.05,11.27,2.13,WARNING,2026-05-23T16:03:30.928352
-26.55,-43.47,-27.72,41.35,22.55,4.22,OPERATIONAL,2026-05-23T16:03:32.928352
-29.21,-43.9,-28.36,41.5,21.29,4.0,OPERATIONAL,2026-05-23T16:03:34.928352
-31.79,-44.26,-28.89,41.64,23.11,4.31,OPERATIONAL,2026-05-23T16:03:36.928352
-34.29,-44.55,-29.33,41.78,23.19,4.29,OPERATIONAL,2026-05-23T16:03:38.928352
-36.71,-44.77,-29.65,41.86,22.15,4.27,OPERATIONAL,2026-05-23T16:03:40.928352
-39.04,-44.91,-29.87,41.99,21.85,4.25,OPERATIONAL,2026-05-23T16:03:42.928352
-41.27,-44.99,-29.98,42.11,22.31,4.21,OPERATIONAL,2026-05-23T16:03:44.928352
-43.39,-44.99,-29.99,42.11,9.8,12.68,FAILURE,2026-05-23T16:03:46.928352
-45.41,-44.92,-29.88,42.23,22.79,4.47,OPERATIONAL,2026-05-23T16:03:48.928352
-47.31,-44.78,-29.67,42.33,21.95,4.1,OPERATIONAL,2026-05-23T16:03:50.928352
-49.1,-44.57,-29.36,42.39,23.18,4.5,OPERATIONAL,2026-05-23T16:03:52.928352
-50.76,-44.29,-28.93,42.45,23.36,4.49,OPERATIONAL,2026-05-23T16:03:54.928352
-52.29,-43.93,-28.4,42.59,22.07,4.31,OPERATIONAL,2026-05-23T16:03:56.928352
-53.7,-43.51,-27.77,42.66,22.5,4.22,OPERATIONAL,2026-05-23T16:03:58.928352
-54.97,-43.01,-27.04,42.77,21.55,4.27,OPERATIONAL,2026-05-23T16:04:00.928352
-56.1,-42.45,-26.22,42.85,21.07,4.09,OPERATIONAL,2026-05-23T16:04:02.928352
-57.1,-41.82,-25.3,42.92,18.51,3.45,OPERATIONAL,2026-05-23T16:04:04.928352
-57.95,-41.12,-24.28,43.06,17.79,3.37,OPERATIONAL,2026-05-23T16:04:06.928352
-58.65,-40.35,-23.18,43.13,18.05,3.51,OPERATIONAL,2026-05-23T16:04:08.928352
-59.21,-39.53,-22.0,43.21,16.27,3.32,OPERATIONAL,2026-05-23T16:04:10.928352
-59.62,-38.63,-20.74,43.26,16.71,3.27,OPERATIONAL,2026-05-23T16:04:12.928352
-59.88,-37.68,-19.4,43.34,16.03,3.22,OPERATIONAL,2026-05-23T16:04:14.928352
-60.0,-36.67,-17.99,43.23,13.98,2.74,OPERATIONAL,2026-05-23T16:04:16.928352
-59.96,-35.59,-16.52,43.3,15.43,3.14,OPERATIONAL,2026-05-23T16:04:18.928352
-59.77,-34.46,-14.99,43.39,14.27,2.85,OPERATIONAL,2026-05-23T16:04:20.928352
-59.43,-33.28,-13.4,43.28,12.31,2.38,OPERATIONAL,2026-05-23T16:04:22.928352
-58.95,-32.04,-11.77,43.17,13.36,2.68,OPERATIONAL,2026-05-23T16:04:24.928352
-58.31,-30.75,-10.09,43.09,9.86,2.09,OPERATIONAL,2026-05-23T16:04:26.928352
-57.54,-29.41,-8.38,42.99,11.13,2.39,OPERATIONAL,2026-05-23T16:04:28.928352
-56.61,-28.03,-6.64,42.9,8.65,1.8,OPERATIONAL,2026-05-23T16:04:30.928352
-55.55,-26.6,-4.87,80.9,12.35,2.49,WARNING,2026-05-23T16:04:32.928352
-54.35,-25.13,-3.09,42.83,8.94,1.9,OPERATIONAL,2026-05-23T16:04:34.928352
-53.01,-23.61,-1.3,42.76,7.12,1.51,OPERATIONAL,2026-05-23T16:04:36.928352
-51.54,-22.06,0.5,42.66,6.72,1.37,OPERATIONAL,2026-05-23T16:04:38.928352
-49.94,-20.48,2.3,42.54,6.79,1.49,OPERATIONAL,2026-05-23T16:04:40.928352
-48.21,-18.86,4.09,42.54,9.71,12.54,FAILURE,2026-05-23T16:04:42.928352
-46.37,-17.21,5.87,42.49,6.57,1.47,OPERATIONAL,2026-05-23T16:04:44.928352
-44.4,-15.53,7.62,42.4,8.24,1.82,OPERATIONAL,2026-05-23T16:04:46.928352
-42.33,-13.83,9.35,42.31,7.57,1.72,OPERATIONAL,2026-05-23T16:04:48.928352
-40.15,-12.11,11.04,42.22,7.95,1.68,OPERATIONAL,2026-05-23T16:04:50.928352
-37.88,-10.36,12.69,42.15,6.82,1.48,OPERATIONAL,2026-05-23T16:04:52.928352
-35.5,-8.6,14.3,42.23,8.31,1.8,OPERATIONAL,2026-05-23T16:04:54.928352
-33.04,-6.83,15.85,42.29,8.8,1.94,OPERATIONAL,2026-05-23T16:04:56.928352
-30.5,-5.05,17.35,42.29,10.39,12.03,FAILURE,2026-05-23T16:04:58.928352
-27.88,-3.25,18.79,81.15,11.74,2.22,WARNING,2026-05-23T16:05:00.928352
-25.19,-1.46,20.16,42.39,9.68,1.99,OPERATIONAL,2026-05-23T16:05:02.928352
-22.43,0.34,21.45,42.29,8.13,1.67,OPERATIONAL,2026-05-23T16:05:04.928352
-19.62,2.14,22.67,42.41,9.86,2.12,OPERATIONAL,2026-05-23T16:05:06.928352
-16.76,3.94,23.81,42.52,11.38,2.25,OPERATIONAL,2026-05-23T16:05:08.928352
-13.86,5.73,24.86,42.44,9.92,2.01,OPERATIONAL,2026-05-23T16:05:10.928352
-10.93,7.51,25.82,42.58,13.61,2.61,OPERATIONAL,2026-05-23T16:05:12.928352
-7.97,9.28,26.69,42.64,13.99,2.67,OPERATIONAL,2026-05-23T16:05:14.928352
-0.49900000000000005,1.103,2.747,54.13,39.82,9.28,FAILURE,2026-05-23T16:05:16.928352
-1.99,12.76,28.14,42.7,13.95,2.68,OPERATIONAL,2026-05-23T16:05:18.928352
1.01,14.48,28.71,42.84,14.37,2.72,OPERATIONAL,2026-05-23T16:05:20.928352
4.01,16.17,29.18,42.93,17.32,3.26,OPERATIONAL,2026-05-23T16:05:22.928352
6.99,17.84,29.55,43.07,16.38,3.25,OPERATIONAL,2026-05-23T16:05:24.928352
9.96,19.48,29.81,43.16,17.48,3.43,OPERATIONAL,2026-05-23T16:05:26.928352
12.91,21.08,29.96,43.26,18.58,3.56,OPERATIONAL,2026-05-23T16:05:28.928352
15.82,22.66,30.0,43.37,19.98,3.96,OPERATIONAL,2026-05-23T16:05:30.928352
18.69,24.19,29.93,83.56,12.86,2.57,WARNING,2026-05-23T16:05:32.928352
21.52,25.69,29.76,43.43,19.43,3.67,OPERATIONAL,2026-05-23T16:05:34.928352
24.29,27.15,29.48,43.5,21.06,4.0,OPERATIONAL,2026-05-23T16:05:36.928352
27.0,28.56,29.1,43.59,22.89,4.33,OPERATIONAL,2026-05-23T16:05:38.928352
29.65,29.93,28.61,43.7,21.66,4.26,OPERATIONAL,2026-05-23T16:05:40.928352
32.22,31.25,28.01,43.79,23.3,4.55,OPERATIONAL,2026-05-23T16:05:42.928352
34.71,32.52,27.32,43.86,22.45,4.43,OPERATIONAL,2026-05-23T16:05:44.928352
3.7110000000000003,3.3740000000000006,2.6530000000000005,51.44,46.79,7.99,FAILURE,2026-05-23T16:05:46.928352
39.42,34.9,25.64,43.91,23.35,4.47,OPERATIONAL,2026-05-23T16:05:48.928352
4.163,3.601,2.466,53.44,45.95,9.63,FAILURE,2026-05-23T16:05:50.928352
43.74,37.06,23.59,44.02,23.55,4.53,OPERATIONAL,2026-05-23T16:05:52.928352
45.74,38.05,22.43,44.13,22.63,4.32,OPERATIONAL,2026-05-23T16:05:54.928352
47.62,38.98,21.2,44.28,21.74,4.28,OPERATIONAL,2026-05-23T16:05:56.928352
49.38,39.85,19.89,44.41,23.96,4.58,OPERATIONAL,2026-05-23T16:05:58.928352
51.03,40.65,18.51,44.48,20.98,4.17,OPERATIONAL,2026-05-23T16:06:00.928352
52.54,41.39,17.06,44.55,20.79,3.89,OPERATIONAL,2026-05-23T16:06:02.928352
53.92,42.06,15.55,44.44,20.41,3.78,OPERATIONAL,2026-05-23T16:06:04.928352
55.17,42.67,13.98,44.59,22.24,4.21,OPERATIONAL,2026-05-23T16:06:06.928352
56.28,43.21,12.36,44.59,10.88,14.27,FAILURE,2026-05-23T16:06:08.928352
57.25,43.68,10.7,44.68,19.49,3.84,OPERATIONAL,2026-05-23T16:06:10.928352
58.08,44.07,9.0,44.63,18.85,3.52,OPERATIONAL,2026-05-23T16:06:12.928352
58.76,44.4,7.27,44.55,17.09,3.26,OPERATIONAL,2026-05-23T16:06:14.928352
59.29,44.66,5.51,44.43,17.64,3.52,OPERATIONAL,2026-05-23T16:06:16.928352
59.68,44.84,3.73,44.33,16.86,3.23,OPERATIONAL,2026-05-23T16:06:18.928352
59.91,44.96,1.94,44.24,15.31,3.02,OPERATIONAL,2026-05-23T16:06:20.928352
6.0,4.5,0.014000000000000002,53.75,35.74,8.79,FAILURE,2026-05-23T16:06:22.928352
59.94,44.97,-1.66,44.16,13.3,2.51,OPERATIONAL,2026-05-23T16:06:24.928352
59.72,44.87,-3.45,44.1,13.0,2.69,OPERATIONAL,2026-05-23T16:06:26.928352
59.36,44.69,-5.23,44.0,11.33,2.39,OPERATIONAL,2026-05-23T16:06:28.928352
58.85,44.45,-6.99,85.11,12.21,2.31,WARNING,2026-05-23T16:06:30.928352
58.19,44.13,-8.73,43.94,11.47,2.18,OPERATIONAL,2026-05-23T16:06:32.928352
57.39,43.74,-10.43,43.86,9.17,1.92,OPERATIONAL,2026-05-23T16:06:34.928352
56.44,43.29,-12.1,43.74,8.99,1.82,OPERATIONAL,2026-05-23T16:06:36.928352
55.36,42.76,-13.73,43.67,8.51,1.84,OPERATIONAL,2026-05-23T16:06:38.928352
54.13,42.17,-15.3,43.57,9.78,1.87,OPERATIONAL,2026-05-23T16:06:40.928352
52.77,41.5,-16.82,43.47,9.6,2.06,OPERATIONAL,2026-05-23T16:06:42.928352
51.28,40.77,-18.28,83.47,11.27,2.15,WARNING,2026-05-23T16:06:44.928352
49.65,39.98,-19.67,43.41,7.18,1.56,OPERATIONAL,2026-05-23T16:06:46.928352
47.91,39.12,-21.0,43.3,6.37,1.42,OPERATIONAL,2026-05-23T16:06:48.928352
46.04,38.2,-22.24,43.23,6.98,1.64,OPERATIONAL,2026-05-23T16:06:50.928352
44.06,37.22,-23.41,43.16,8.34,1.89,OPERATIONAL,2026-05-23T16:06:52.928352
41.97,36.18,-24.49,43.07,5.59,1.34,OPERATIONAL,2026-05-23T16:06:54.928352
39.78,35.08,-25.49,42.97,8.39,1.84,OPERATIONAL,2026-05-23T16:06:56.928352
37.48,33.93,-26.39,42.97,9.71,13.54,FAILURE,2026-05-23T16:06:58.928352
35.1,32.72,-27.2,42.87,7.45,1.57,OPERATIONAL,2026-05-23T16:07:00.928352
3.262,3.145,-2.7910000000000004,51.9,45.91,7.61,FAILURE,2026-05-23T16:07:02.928352
3.0060000000000002,3.0140000000000002,-2.8520000000000003,53.61,38.67,8.18,FAILURE,2026-05-23T16:07:04.928352
2.7430000000000003,2.878,-2.9030000000000005,53.23,43.15,8.22,FAILURE,2026-05-23T16:07:06.928352
24.73,27.38,-29.43,42.81,8.44,1.82,OPERATIONAL,2026-05-23T16:07:08.928352
21.96,25.93,-29.72,42.74,9.59,2.11,OPERATIONAL,2026-05-23T16:07:10.928352
19.15,24.43,-29.91,42.68,10.6,2.08,OPERATIONAL,2026-05-23T16:07:12.928352
16.28,22.9,-30.0,42.79,11.58,2.34,OPERATIONAL,2026-05-23T16:07:14.928352
13.37,21.34,-29.97,42.87,12.34,2.37,OPERATIONAL,2026-05-23T16:07:16.928352
10.43,19.73,-29.84,94.87,11.3,2.2,WARNING,2026-05-23T16:07:18.928352
7.47,18.1,-29.6,42.94,13.59,2.59,OPERATIONAL,2026-05-23T16:07:20.928352
4.48,16.44,-29.25,43.07,13.0,2.65,OPERATIONAL,2026-05-23T16:07:22.928352
1.49,14.75,-28.79,43.2,15.33,3.09,OPERATIONAL,2026-05-23T16:07:24.928352
-1.51,13.04,-28.24,43.28,15.59,2.96,OPERATIONAL,2026-05-23T16:07:26.928352
-4.51,11.31,-27.58,43.38,16.24,3.23,OPERATIONAL,2026-05-23T16:07:28.928352
-7.49,9.56,-26.82,43.49,18.19,3.66,OPERATIONAL,2026-05-23T16:07:30.928352
-10.46,7.79,-25.97,43.55,18.53,3.51,OPERATIONAL,2026-05-23T16:07:32.928352
-13.4,6.01,-25.02,43.66,19.44,3.63,OPERATIONAL,2026-05-23T16:07:34.928352
-16.31,4.22,-23.98,43.71,18.02,3.51,OPERATIONAL,2026-05-23T16:07:36.928352
-19.17,2.43,-22.86,43.8,19.64,3.81,OPERATIONAL,2026-05-23T16:07:38.928352
-21.99,0.63,-21.65,43.9,21.45,4.19,OPERATIONAL,2026-05-23T16:07:40.928352
-24.75,-1.17,-20.37,44.04,22.16,4.36,OPERATIONAL,2026-05-23T16:07:42.928352
-27.45,-2.97,-19.01,44.14,22.78,4.41,OPERATIONAL,2026-05-23T16:07:44.928352
-30.08,-4.76,-17.59,44.24,22.28,4.27,OPERATIONAL,2026-05-23T16:07:46.928352
-32.64,-6.55,-16.1,44.29,22.18,4.16,OPERATIONAL,2026-05-23T16:07:48.928352
-35.12,-8.32,-14.55,44.44,22.22,4.17,OPERATIONAL,2026-05-23T16:07:50.928352
-37.5,-10.08,-12.95,87.81,11.87,2.35,WARNING,2026-05-23T16:07:52.928352
-39.8,-11.83,-11.3,44.53,23.72,4.66,OPERATIONAL,2026-05-23T16:07:54.928352
-41.99,-13.56,-9.62,44.6,23.63,4.36,OPERATIONAL,2026-05-23T16:07:56.928352
-44.08,-15.26,-7.9,44.7,22.72,4.35,OPERATIONAL,2026-05-23T16:07:58.928352
-46.06,-16.94,-6.15,44.81,21.82,4.16,OPERATIONAL,2026-05-23T16:08:00.928352
-47.93,-18.6,-4.38,44.88,21.57,4.04,OPERATIONAL,2026-05-23T16:08:02.928352
-49.67,-20.22,-2.59,44.97,22.61,4.44,OPERATIONAL,2026-05-23T16:08:04.928352
-51.29,-21.81,-0.79,45.04,21.16,4.21,OPERATIONAL,2026-05-23T16:08:06.928352
-52.78,-23.37,1.01,45.15,22.82,4.5,OPERATIONAL,2026-05-23T16:08:08.928352
-54.14,-24.89,2.8,45.06,20.38,3.78,OPERATIONAL,2026-05-23T16:08:10.928352
-55.37,-26.37,4.59,44.99,19.3,3.78,OPERATIONAL,2026-05-23T16:08:12.928352
-56.45,-27.8,6.36,44.89,19.25,3.62,OPERATIONAL,2026-05-23T16:08:14.928352
-57.4,-29.2,8.11,44.78,20.74,3.84,OPERATIONAL,2026-05-23T16:08:16.928352
-58.2,-30.54,9.82,44.66,20.02,3.8,OPERATIONAL,2026-05-23T16:08:18.928352
-58.86,-31.84,11.51,44.55,17.32,3.3,OPERATIONAL,2026-05-23T16:08:20.928352
-59.37,-33.09,13.15,44.5,18.55,3.7,OPERATIONAL,2026-05-23T16:08:22.928352
-59.73,-34.28,14.74,44.43,15.76,2.96,OPERATIONAL,2026-05-23T16:08:24.928352
-5.994,-3.5420000000000003,1.6280000000000001,53.61,46.58,7.75,FAILURE,2026-05-23T16:08:26.928352
-60.0,-36.5,17.76,44.36,15.82,3.14,OPERATIONAL,2026-05-23T16:08:28.928352
-59.91,-37.52,19.18,44.26,14.33,2.89,OPERATIONAL,2026-05-23T16:08:30.928352
-59.67,-38.49,20.53,44.2,14.45,2.95,OPERATIONAL,2026-05-23T16:08:32.928352
-59.29,-39.39,21.8,44.13,11.91,2.4,OPERATIONAL,2026-05-23T16:08:34.928352
-58.75,-40.23,23.0,44.07,11.3,2.18,OPERATIONAL,2026-05-23T16:08:36.928352
-58.07,-41.0,24.11,43.95,12.23,2.6,OPERATIONAL,2026-05-23T16:08:38.928352
-57.24,-41.71,25.14,43.87,9.24,1.85,OPERATIONAL,2026-05-23T16:08:40.928352
-56.27,-42.35,26.08,43.75,9.14,2.03,OPERATIONAL,2026-05-23T16:08:42.928352
-55.16,-42.93,26.92,43.68,8.84,1.74,OPERATIONAL,2026-05-23T16:08:44.928352
-53.91,-43.43,27.66,43.61,9.2,2.0,OPERATIONAL,2026-05-23T16:08:46.928352
-52.53,-43.87,28.31,43.51,9.13,1.92,OPERATIONAL,2026-05-23T16:08:48.928352
-5.101,-4.423,2.886,49.94,44.5,9.75,FAILURE,2026-05-23T16:08:50.928352
-49.37,-44.53,29.3,43.43,7.9,1.63,OPERATIONAL,2026-05-23T16:08:52.928352
-47.6,-44.75,29.63,43.32,8.77,1.76,OPERATIONAL,2026-05-23T16:08:54.928352
-45.72,-44.91,29.86,43.23,7.05,1.53,OPERATIONAL,2026-05-23T16:08:56.928352
-43.72,-44.99,29.98,43.23,9.11,13.16,FAILURE,2026-05-23T16:08:58.928352
-41.61,-44.99,29.99,43.14,7.5,1.66,OPERATIONAL,2026-05-23T16:09:00.928352
-39.4,-44.93,29.9,43.08,8.07,1.74,OPERATIONAL,2026-05-23T16:09:02.928352
-37.09,-44.8,29.69,43.02,6.84,1.57,OPERATIONAL,2026-05-23T16:09:04.928352
-34.68,-44.59,29.38,42.93,6.48,1.43,OPERATIONAL,2026-05-23T16:09:06.928352
-32.19,-44.31,28.97,42.88,7.77,1.68,OPERATIONAL,2026-05-23T16:09:08.928352
-29.62,-43.96,28.45,42.81,8.39,1.88,OPERATIONAL,2026-05-23T16:09:10.928352
-26.98,-43.54,27.83,42.73,8.77,1.79,OPERATIONAL,2026-05-23T16:09:12.928352
-24.27,-43.05,27.11,42.68,9.67,1.98,OPERATIONAL,2026-05-23T16:09:14.928352
-21.49,-42.5,26.29,42.6,9.99,1.94,OPERATIONAL,2026-05-23T16:09:16.928352
-18.67,-41.87,25.37,42.72,11.16,2.39,OPERATIONAL,2026-05-23T16:09:18.928352
-15.79,-41.18,24.37,42.83,12.04,2.46,OPERATIONAL,2026-05-23T16:09:20.928352
-12.88,-40.42,23.27,42.76,10.66,2.03,OPERATIONAL,2026-05-23T16:09:22.928352
-9.94,-39.59,22.1,42.9,11.65,2.4,OPERATIONAL,2026-05-23T16:09:24.928352
-0.6970000000000001,-3.8710000000000004,2.084,53.67,46.54,9.78,FAILURE,2026-05-23T16:09:26.928352
-3.98,-37.76,19.51,42.96,14.49,2.78,OPERATIONAL,2026-05-23T16:09:28.928352
-0.98,-36.75,18.11,87.12,12.34,2.5,WARNING,2026-05-23T16:09:30.928352
2.02,-35.68,16.64,43.1,16.94,3.2,OPERATIONAL,2026-05-23T16:09:32.928352
5.01,-34.56,15.11,43.1,9.15,12.11,FAILURE,2026-05-23T16:09:34.928352
7.99,-33.38,13.53,43.23,17.36,3.51,OPERATIONAL,2026-05-23T16:09:36.928352
10.96,-32.14,11.9,43.3,18.16,3.47,OPERATIONAL,2026-05-23T16:09:38.928352
13.89,-30.86,10.23,43.42,18.81,3.61,OPERATIONAL,2026-05-23T16:09:40.928352
16.79,-29.52,8.52,43.53,19.38,3.83,OPERATIONAL,2026-05-23T16:09:42.928352
19.65,-28.14,6.78,43.59,20.14,3.86,OPERATIONAL,2026-05-23T16:09:44.928352
22.46,-26.71,5.02,43.59,10.8,11.76,FAILURE,2026-05-23T16:09:46.928352
25.21,-25.24,3.23,43.74,20.54,3.88,OPERATIONAL,2026-05-23T16:09:48.928352
27.9,-23.73,1.44,43.88,22.53,4.33,OPERATIONAL,2026-05-23T16:09:50.928352
30.52,-22.19,-0.36,43.88,9.65,13.74,FAILURE,2026-05-23T16:09:52.928352
33.06,-20.6,-2.16,43.97,22.42,4.4,OPERATIONAL,2026-05-23T16:09:54.928352
35.52,-18.99,-3.95,44.03,23.61,4.42,OPERATIONAL,2026-05-23T16:09:56.928352
37.9,-17.34,-5.73,44.08,21.73,4.02,OPERATIONAL,2026-05-23T16:09:58.928352
40.17,-15.67,-7.48,44.2,24.22,4.58,OPERATIONAL,2026-05-23T16:10:00.928352
42.35,-13.97,-9.21,44.33,21.86,4.15,OPERATIONAL,2026-05-23T16:10:02.928352
44.42,-12.24,-10.91,44.47,22.82,4.48,OPERATIONAL,2026-05-23T16:10:04.928352
46.38,-10.5,-12.56,44.61,22.08,4.11,OPERATIONAL,2026-05-23T16:10:06.928352
48.23,-8.74,-14.17,44.74,23.2,4.36,OPERATIONAL,2026-05-23T16:10:08.928352
49.95,-6.97,-15.73,44.88,22.65,4.24,OPERATIONAL,2026-05-23T16:10:10.928352
51.55,-5.19,-17.24,45.0,23.13,4.29,OPERATIONAL,2026-05-23T16:10:12.928352
53.02,-3.4,-18.68,45.12,22.35,4.39,OPERATIONAL,2026-05-23T16:10:14.928352
54.36,-1.6,-20.05,45.04,19.67,3.82,OPERATIONAL,2026-05-23T16:10:16.928352
55.56,0.2,-21.35,45.1,21.41,4.23,OPERATIONAL,2026-05-23T16:10:18.928352
